#OID,CID,Membership,PID,Single unit price,Quantity,Payment price,Order date,Order status,Delivery status
O572,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:27,SUCCESSFUL,DELIVERING
O378,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:27,SUCCESSFUL,DELIVERING
O423,C978,Platinum,I002-1988,60000000,2,120000000,01/02/2023_23:29,SUCCESSFUL,DELIVERING
O019,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:29,SUCCESSFUL,DELIVERING
O695,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:30,SUCCESSFUL,DELIVERING
O838,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:30,SUCCESSFUL,DELIVERING
O871,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:32,SUCCESSFUL,DELIVERING
O751,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:32,SUCCESSFUL,DELIVERING
O523,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:33,SUCCESSFUL,DELIVERING
O578,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:33,SUCCESSFUL,DELIVERING
O086,C978,Platinum,I002-1988,60000000,2,120000000,01/02/2023_23:34,SUCCESSFUL,DELIVERING
O569,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:34,SUCCESSFUL,DELIVERING
O437,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:36,SUCCESSFUL,DELIVERING
O563,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:37,SUCCESSFUL,DELIVERING
O861,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:39,SUCCESSFUL,DELIVERING
O079,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:40,SUCCESSFUL,DELIVERING
O612,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:41,SUCCESSFUL,DELIVERING
O619,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:44,SUCCESSFUL,DELIVERING
0030,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:46,SUCCESSFUL,DELIVERING
O010,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:46,SUCCESSFUL,DELIVERING
O040,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:48,SUCCESSFUL,DELIVERING
O405,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:50,SUCCESSFUL,DELIVERING
O097,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:51,SUCCESSFUL,DELIVERING
O070,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:53,SUCCESSFUL,DELIVERING
O130,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:55,SUCCESSFUL,DELIVERING
O193,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:57,SUCCESSFUL,DELIVERING
O192,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:59,SUCCESSFUL,DELIVERING
O739,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:00,SUCCESSFUL,DELIVERING
O721,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:01,SUCCESSFUL,DELIVERING
O257,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:02,SUCCESSFUL,DELIVERING
O139,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:05,SUCCESSFUL,DELIVERING
O654,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:10,SUCCESSFUL,DELIVERING
O371,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:11,SUCCESSFUL,DELIVERING
O195,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:13,SUCCESSFUL,DELIVERING
0732,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:15,SUCCESSFUL,DELIVERING
O697,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_00:26,SUCCESSFUL,DELIVERING
O544,C978,Platinum,I002-1988,60000000,1,60000000,01/03/2023_00:27,SUCCESSFUL,DELIVERING
O122,C978,Platinum,I002-1988,60000000,1,60000000,01/03/2023_00:27,SUCCESSFUL,DELIVERING
O122,C978,Platinum,I002-1988,60000000,3,180000000,01/03/2023_00:27,SUCCESSFUL,DELIVERING
O270,C978,Platinum,I002-1988,60000000,3,180000000,01/03/2023_00:27,SUCCESSFUL,DELIVERING
O700,C978,Platinum,I002-1988,60000000,5,300000000,01/03/2023_12:56,SUCCESSFUL,DELIVERING
O700,C978,Platinum,I006-2014,6000000,10,60000000,01/03/2023_12:56,SUCCESSFUL,DELIVERING
O588,C978,Platinum,I001-2001,50000000,1,50000000,01/03/2023_12:59,SUCCESSFUL,DELIVERING
O319,C762,Regular,I001-2001,50000000,1,50000000,01/05/2023_00:05,SUCCESSFUL,DELIVERING
O319,C762,Regular,I004-1999,39000000,1,39000000,01/05/2023_00:05,SUCCESSFUL,DELIVERING
O676,C762,Regular,I006-2014,6000000,2,12000000,01/05/2023_00:43,SUCCESSFUL,DELIVERING
